file	line	occurrence_text	bucket	action
tests/phase-09.1/test_wiki_index_decisions.sh	16	wiki/index.md missin	1-cloud	wiki-cloud/
tests/phase-09.1/test_wiki_index_decisions.sh	18	wiki/index.md has De	1-cloud	wiki-cloud/
tests/phase-10/test_brownfield_scan_confidence.sh	19	wiki/entities/SomeEn	1-cloud	wiki-cloud/
tests/phase-10/test_brownfield_scan_confidence.sh	26	wiki/concepts/some-c	1-cloud	wiki-cloud/
tests/phase-10/test_brownfield_scan_confidence.sh	33	wiki/sources/src-202	1-cloud	wiki-cloud/
tests/phase-10/test_brownfield_scan_report.sh	6	wiki/entities/SomeEn	1-cloud	wiki-cloud/
tests/phase-10/test_brownfield_scan_report.sh	27	wiki/entities/SomeEn	1-cloud	wiki-cloud/
tests/phase-10/test_ingest_strip_bootstrap_stage.sh	22	wiki/entities/ingest	1-cloud	wiki-cloud/
tests/phase-10/test_lint_brownfield_stale_30d.sh	18	"wiki/concepts"" ""$tmp"	1-cloud	wiki-cloud/
tests/phase-10/test_lint_brownfield_stale_30d.sh	18	"wiki/sources"" ""$tmp/"	1-cloud	wiki-cloud/
tests/phase-10/test_lint_brownfield_stale_30d.sh	18	"wiki/maintenance"""	1-cloud	wiki-cloud/
tests/phase-10/test_lint_brownfield_stale_30d.sh	19	wiki/concepts/bootst	1-cloud	wiki-cloud/
tests/phase-10/test_lint_brownfield_stale_30d.sh	19	"wiki/concepts/"""	1-cloud	wiki-cloud/
tests/phase-10/test_lint_brownfield_stale_30d.sh	20	wiki/concepts/bootst	1-cloud	wiki-cloud/
tests/phase-10/test_lint_brownfield_stale_30d.sh	20	"wiki/concepts/"""	1-cloud	wiki-cloud/
tests/phase-10/test_lint_brownfield_stale_30d.sh	27	wiki/concepts/bootst	1-cloud	wiki-cloud/
tests/phase-10/test_lint_brownfield_stale_30d.sh	36	"wiki/index.md"""	1-cloud	wiki-cloud/
tests/phase-10/test_lint_brownfield_stale_30d.sh	37	"wiki/log.md"""	1-cloud	wiki-cloud/
tests/phase-10/test_lint_ci_downgrade_bootstrapped.sh	13	"wiki/concepts"" ""$tmp"	1-cloud	wiki-cloud/
tests/phase-10/test_lint_ci_downgrade_bootstrapped.sh	13	"wiki/sources"""	1-cloud	wiki-cloud/
tests/phase-10/test_lint_ci_downgrade_bootstrapped.sh	15	wiki/concepts/bootst	1-cloud	wiki-cloud/
tests/phase-10/test_lint_ci_downgrade_bootstrapped.sh	15	"wiki/concepts/"""	1-cloud	wiki-cloud/
tests/phase-10/test_lint_ci_downgrade_bootstrapped.sh	16	"wiki/index.md"""	1-cloud	wiki-cloud/
tests/phase-10/test_lint_ci_downgrade_bootstrapped.sh	17	"wiki/log.md"""	1-cloud	wiki-cloud/
tests/phase-10/test_lint_ci_no_downgrade_when_absent.sh	13	"wiki/concepts"" ""$tmp"	1-cloud	wiki-cloud/
tests/phase-10/test_lint_ci_no_downgrade_when_absent.sh	13	"wiki/sources"""	1-cloud	wiki-cloud/
tests/phase-10/test_lint_ci_no_downgrade_when_absent.sh	17	wiki/concepts/greenf	1-cloud	wiki-cloud/
tests/phase-10/test_lint_ci_no_downgrade_when_absent.sh	41	"wiki/index.md"""	1-cloud	wiki-cloud/
tests/phase-10/test_lint_ci_no_downgrade_when_absent.sh	42	"wiki/log.md"""	1-cloud	wiki-cloud/
tests/phase-11/test_01_apply_reads_decisions_only.sh	34	wiki/concepts/attent	1-cloud	wiki-cloud/
tests/phase-11/test_01_apply_reads_decisions_only.sh	39	wiki/concepts/attent	1-cloud	wiki-cloud/
tests/phase-11/test_01_apply_reads_decisions_only.sh	48	wiki/concepts/attent	1-cloud	wiki-cloud/
tests/phase-11/test_01_dryrun_default.sh	28	wiki/ must be untouc	1-cloud	wiki-cloud/
tests/phase-11/test_01_dryrun_default.sh	29	wiki/')	1-cloud	wiki-cloud/
tests/phase-11/test_01_dryrun_default.sh	31	"wiki/:"" >&2"	1-cloud	wiki-cloud/
tests/phase-11/test_01_idempotent.sh	36	wiki/')	1-cloud	wiki-cloud/
tests/phase-11/test_01_idempotent.sh	38	"wiki/ changed:"" >&2"	1-cloud	wiki-cloud/
tests/phase-11/test_02_apply_eligible_bullets.sh	28	wiki/concepts/attent	1-cloud	wiki-cloud/
tests/phase-11/test_02_dryrun_default.sh	27	wiki/')	1-cloud	wiki-cloud/
tests/phase-11/test_02_dryrun_default.sh	29	"wiki/:"" >&2"	1-cloud	wiki-cloud/
tests/phase-11/test_02_idempotent.sh	31	wiki/')	1-cloud	wiki-cloud/
tests/phase-11/test_02_idempotent.sh	33	"wiki/ changed:"" >&2"	1-cloud	wiki-cloud/
tests/phase-11/test_02_no_magic_strings.sh	28	"wiki/"" 2>/dev/null;"	1-cloud	wiki-cloud/
tests/phase-11/test_02_skips_already_tagged.sh	29	"wiki/"" 2>/dev/null;"	1-cloud	wiki-cloud/
tests/phase-11/test_02_skips_already_tagged.sh	36	wiki/')	1-cloud	wiki-cloud/
tests/phase-11/test_02_skips_already_tagged.sh	40	wiki/') >&2	1-cloud	wiki-cloud/
tests/phase-11/test_02_top_level_bullets_only.sh	29	"wiki/concepts/$page"""	1-cloud	wiki-cloud/
tests/phase-11/test_03_advisory_only.sh	35	wiki/')	1-cloud	wiki-cloud/
tests/phase-11/test_03_advisory_only.sh	37	wiki/ (advisory-only	1-cloud	wiki-cloud/
tests/phase-11/test_03_advisory_only.sh	48	wiki/')	1-cloud	wiki-cloud/
tests/phase-11/test_03_advisory_only.sh	50	wiki/ (advisory-only	1-cloud	wiki-cloud/
tests/phase-11/test_04_advisory_only.sh	52	wiki/')	1-cloud	wiki-cloud/
